[2025-04-23 15:57:47,289] anonymous, Request: POST /auth/login/ 400
[2025-04-23 15:57:47,300] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:57:49,139] anonymous, Request: POST /auth/login/ 401
[2025-04-23 15:57:49,164] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:57:50,918] anonymous, Request: POST /auth/login/ 200
[2025-04-23 15:57:51,007] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:57:52,744] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:57:53,184] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:57:54,067] anonymous, Request: POST /auth/register/ 400
[2025-04-23 15:57:54,074] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:57:55,813] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:57:55,855] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 15:57:57,599] anonymous, Request: POST /auth/register/ 200
[2025-04-23 15:58:00,544] anonymous, Request: GET /graphs/get/USD 200
[2025-04-23 16:03:31,038] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 16:03:31,942] anonymous, Request: POST /auth/login/ 400
[2025-04-23 16:03:31,956] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 16:03:33,809] anonymous, Request: POST /auth/login/ 401
[2025-04-23 16:03:33,820] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 16:03:35,573] anonymous, Request: POST /auth/login/ 200
[2025-04-23 16:03:35,585] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 16:03:37,343] anonymous, Request: POST /auth/register/ 200
[2025-04-23 16:03:37,751] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 16:03:38,637] anonymous, Request: POST /auth/register/ 400
[2025-04-23 16:03:38,643] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 16:03:40,381] anonymous, Request: POST /auth/register/ 200
[2025-04-23 16:03:40,395] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 16:03:42,131] anonymous, Request: POST /auth/register/ 200
[2025-04-23 16:03:44,792] anonymous, Request: GET /graphs/get/USD 200
[2025-04-23 16:20:08,645] anonymous, Request: GET /getcsrf/ 200
[2025-04-23 16:20:09,551] anonymous, Request: POST /auth/login/ 400
